Term,rép,Provenance,Date
avait procuré le plaisir des,1,test.md,2019-06-20
répondit le pauvre Maître d ’ Hôtel,0,test.md,2019-06-20
Reine mangea à son souper,1,test.md,2019-06-20
Reine sa femme dans,1,test.md,2019-06-20
était que ces Tours,1,test.md,2019-06-20
La,9,test.md,2019-06-20
chanterait comme,1,test.md,2019-06-20
passage au travers,1,test.md,2019-06-20
Il traverse plusieurs,1,test.md,2019-06-20
mais excellentes,1,test.md,2019-06-20
jamais,4,test.md,2019-06-20
grande cérémonie quérir,1,test.md,2019-06-20
à l ’ Empereur Cantalabutte son voisin,0,test.md,2019-06-20
y avait encore quelques,1,test.md,2019-06-20
jouerait,1,test.md,2019-06-20
monte l ’ escalier il entre dans,0,test.md,2019-06-20
’ étaient rapprochés dès qu ’ il avait été passé,0,test.md,2019-06-20
’ endormirent,0,test.md,2019-06-20
moment la jeune Fée sortit,1,test.md,2019-06-20
son chemin,1,test.md,2019-06-20
vit entrer,1,test.md,2019-06-20
car,9,test.md,2019-06-20
petits,2,test.md,2019-06-20
place du,1,test.md,2019-06-20
Ce pauvre homme,1,test.md,2019-06-20
voici ce qu ’,0,test.md,2019-06-20
’ argent,0,test.md,2019-06-20
percerait la,1,test.md,2019-06-20
si grande quantité,1,test.md,2019-06-20
la Reine,17,test.md,2019-06-20
ans,61,test.md,2019-06-20
raison,1,test.md,2019-06-20
la Dame,2,test.md,2019-06-20
était venu en poste,1,test.md,2019-06-20
avait couché deux ou trois nuits dehors,1,test.md,2019-06-20
’ ai pas assez,0,test.md,2019-06-20
demanda,3,test.md,2019-06-20
tasses,1,test.md,2019-06-20
Je file,1,test.md,2019-06-20
peu dure,1,test.md,2019-06-20
où,11,test.md,2019-06-20
alla jusqu ’ au haut d ’,0,test.md,2019-06-20
deux enfants,3,test.md,2019-06-20
tout habillée,1,test.md,2019-06-20
basse-cour,3,test.md,2019-06-20
Il reconnut pourtant bien au,1,test.md,2019-06-20
’ assura qu ’ il l ’ aimait,0,test.md,2019-06-20
laisserez pas d ’ aller revoir vos chers enfants,0,test.md,2019-06-20
lit,3,test.md,2019-06-20
fuseau,6,test.md,2019-06-20
bois,5,test.md,2019-06-20
petits enfants,1,test.md,2019-06-20
sorti,4,test.md,2019-06-20
Il,19,test.md,2019-06-20
saurait dire,1,test.md,2019-06-20
à qui,2,test.md,2019-06-20
cour pavée,1,test.md,2019-06-20
était venue,1,test.md,2019-06-20
comme,16,test.md,2019-06-20
un fils,1,test.md,2019-06-20
Princesse qui paraissait avoir quinze ou seize ans,1,test.md,2019-06-20
allé à la,1,test.md,2019-06-20
vers,4,test.md,2019-06-20
’ était,0,test.md,2019-06-20
parlaient,1,test.md,2019-06-20
il devait être à la,1,test.md,2019-06-20
disait même,1,test.md,2019-06-20
Fée,17,test.md,2019-06-20
à se dire,1,test.md,2019-06-20
feu,4,test.md,2019-06-20
la méprisait,1,test.md,2019-06-20
dans,38,test.md,2019-06-20
s ’,0,test.md,2019-06-20
Officiers,2,test.md,2019-06-20
consola bientôt avec sa belle femme et,1,test.md,2019-06-20
beaucoup d ’ amour,0,test.md,2019-06-20
grands arbres,2,test.md,2019-06-20
des choses,1,test.md,2019-06-20
enfant,18,test.md,2019-06-20
’ il n ’ eût quelque amourette,0,test.md,2019-06-20
première vue,1,test.md,2019-06-20
éloquence,1,test.md,2019-06-20
Princesse,25,test.md,2019-06-20
’ il avait reçu,0,test.md,2019-06-20
retenir,1,test.md,2019-06-20
entrée magnifique dans,1,test.md,2019-06-20
alla dès qu ’,0,test.md,2019-06-20
le Fils du Roi qui régnait alors,1,test.md,2019-06-20
qui lui,2,test.md,2019-06-20
frotte,1,test.md,2019-06-20
la tête la première dans,1,test.md,2019-06-20
Marraines à,1,test.md,2019-06-20
réveiller qu ’,0,test.md,2019-06-20
heure arriver,1,test.md,2019-06-20
le pût suivre,1,test.md,2019-06-20
la troisième qu ’,0,test.md,2019-06-20
Elle,5,test.md,2019-06-20
grande cuve,1,test.md,2019-06-20
Que,2,test.md,2019-06-20
soi sur peine,1,test.md,2019-06-20
cent ans,6,test.md,2019-06-20
tombera seulement dans,1,test.md,2019-06-20
amoureux,2,test.md,2019-06-20
peine,4,test.md,2019-06-20
fille,3,test.md,2019-06-20
pas s ’ en étonner,0,test.md,2019-06-20
poignard à la,1,test.md,2019-06-20
place,3,test.md,2019-06-20
mit à pleurer,1,test.md,2019-06-20
Pages,1,test.md,2019-06-20
Officiers de,1,test.md,2019-06-20
son Père devait être,1,test.md,2019-06-20
fait mettre,1,test.md,2019-06-20
Baptême toute la compagnie revint au Palais du Roi,1,test.md,2019-06-20
Je le veux,1,test.md,2019-06-20
’ y aurait pu passer,0,test.md,2019-06-20
d ’ animaux,0,test.md,2019-06-20
uns debout,1,test.md,2019-06-20
montraient assez qu ’,0,test.md,2019-06-20
jour dans,1,test.md,2019-06-20
son teint,1,test.md,2019-06-20
Ange,2,test.md,2019-06-20
était bon homme,1,test.md,2019-06-20
mains,3,test.md,2019-06-20
étui d ’,0,test.md,2019-06-20
craignait quoiqu ’ il l ’ aimât,0,test.md,2019-06-20
et la,6,test.md,2019-06-20
peu,5,test.md,2019-06-20
Le Roi,6,test.md,2019-06-20
ronces,2,test.md,2019-06-20
était,38,test.md,2019-06-20
semblait le permettre,1,test.md,2019-06-20
sans,7,test.md,2019-06-20
par des dragons,1,test.md,2019-06-20
sortirent du Château,1,test.md,2019-06-20
était réservée,1,test.md,2019-06-20
garni,1,test.md,2019-06-20
Reine,25,test.md,2019-06-20
Maisons,1,test.md,2019-06-20
l ’ avait donnée à sa,0,test.md,2019-06-20
seul le pouvoir,1,test.md,2019-06-20
sa peau était,1,test.md,2019-06-20
mâtins,1,test.md,2019-06-20
’ avoir été trompée,0,test.md,2019-06-20
approcher,1,test.md,2019-06-20
peu étourdie,1,test.md,2019-06-20
avait des,1,test.md,2019-06-20
du parc,1,test.md,2019-06-20
perfection,2,test.md,2019-06-20
d ’,0,test.md,2019-06-20
dit qu ’ en chassant il s ’ était perdu dans,0,test.md,2019-06-20
qu ’ il allait presque,0,test.md,2019-06-20
bois fort épais,1,test.md,2019-06-20
avec des,1,test.md,2019-06-20
Hongrie,1,test.md,2019-06-20
feu aussi,1,test.md,2019-06-20
’ Histoire,0,test.md,2019-06-20
son aise,1,test.md,2019-06-20
revoir mes enfants,1,test.md,2019-06-20
avait pourtant que trois ans,1,test.md,2019-06-20
embrasser,1,test.md,2019-06-20
recommanda sa femme et,1,test.md,2019-06-20
Les,1,test.md,2019-06-20
près,11,test.md,2019-06-20
dure que cela,1,test.md,2019-06-20
bête,3,test.md,2019-06-20
Jour qui pleurait,1,test.md,2019-06-20
Mais quand le Roi fut mort,1,test.md,2019-06-20
et,158,test.md,2019-06-20
Ils étaient là,1,test.md,2019-06-20
’ ai ouï dire à mon père qu ’ il y avait dans,0,test.md,2019-06-20
dit le Maître d ’ Hôtel,0,test.md,2019-06-20
qui ne,2,test.md,2019-06-20
vient,1,test.md,2019-06-20
Au bout,2,test.md,2019-06-20
Écuries,1,test.md,2019-06-20
parce que,3,test.md,2019-06-20
gens,1,test.md,2019-06-20
se cacher derrière la tapisserie,1,test.md,2019-06-20
Galopins,1,test.md,2019-06-20
pas moins,1,test.md,2019-06-20
filer au fuseau,2,test.md,2019-06-20
Reine étant allés à une,1,test.md,2019-06-20
’ y faisait,0,test.md,2019-06-20
lui-même,1,test.md,2019-06-20
cinquante ans,2,test.md,2019-06-20
donjon dans,1,test.md,2019-06-20
Mataquin,1,test.md,2019-06-20
chariot tout,1,test.md,2019-06-20
silence affreux,1,test.md,2019-06-20
la vit au,1,test.md,2019-06-20
cuve,3,test.md,2019-06-20
chienne,1,test.md,2019-06-20
disaient que,1,test.md,2019-06-20
alla,13,test.md,2019-06-20
moment,2,test.md,2019-06-20
dorée,1,test.md,2019-06-20
répondit la,1,test.md,2019-06-20
beaucoup,2,test.md,2019-06-20
voulait faire fouetter,1,test.md,2019-06-20
défenses à qui que ce,1,test.md,2019-06-20
Après,1,test.md,2019-06-20
par lequel il défendait à,1,test.md,2019-06-20
’ il y,0,test.md,2019-06-20
parce que l ’,0,test.md,2019-06-20
’ avait pas ôté,0,test.md,2019-06-20
mangé,2,test.md,2019-06-20
La Princesse se percera la,1,test.md,2019-06-20
envie,2,test.md,2019-06-20
Fées,10,test.md,2019-06-20
passer,3,test.md,2019-06-20
haie,1,test.md,2019-06-20
le dos,1,test.md,2019-06-20
Aurore qui demandait,1,test.md,2019-06-20
Faites,1,test.md,2019-06-20
Roi avait,1,test.md,2019-06-20
Château,11,test.md,2019-06-20
là,8,test.md,2019-06-20
à cheval,1,test.md,2019-06-20
préparait à dire au Roi,1,test.md,2019-06-20
Ville Capitale,1,test.md,2019-06-20
tapisserie,2,test.md,2019-06-20
ce qu ’ elle voyait,0,test.md,2019-06-20
lui dit,5,test.md,2019-06-20
mes,10,test.md,2019-06-20
fit,10,test.md,2019-06-20
Je veux manger,3,test.md,2019-06-20
écartèrent d ’,0,test.md,2019-06-20
bien autant,1,test.md,2019-06-20
Filles,1,test.md,2019-06-20
son secret,1,test.md,2019-06-20
attendre,1,test.md,2019-06-20
Le Prince charmé,1,test.md,2019-06-20
l ’ Ogresse trouva admirablement bon,0,test.md,2019-06-20
ne mourrez point,1,test.md,2019-06-20
blanche,1,test.md,2019-06-20
Ménagerie,1,test.md,2019-06-20
Suisses,2,test.md,2019-06-20
chambre,8,test.md,2019-06-20
cuiller,1,test.md,2019-06-20
plaisance,1,test.md,2019-06-20
alla présenter la,1,test.md,2019-06-20
Aumônier,1,test.md,2019-06-20
qu ’ elle,0,test.md,2019-06-20
que cela,3,test.md,2019-06-20
’ osait l ’ en instruire,0,test.md,2019-06-20
par le,4,test.md,2019-06-20
la Reine devint grosse,1,test.md,2019-06-20
maria dans,1,test.md,2019-06-20
profond sommeil qui durera cent ans,1,test.md,2019-06-20
’ épines,0,test.md,2019-06-20
couleurs vives,1,test.md,2019-06-20
Chapelle du Château,1,test.md,2019-06-20
mourrait,1,test.md,2019-06-20
’ avait point,0,test.md,2019-06-20
davantage,1,test.md,2019-06-20
ce sera chez moi où je,1,test.md,2019-06-20
pour s ’ excuser,0,test.md,2019-06-20
si bonne sauce que sa Maîtresse l ’ assura qu ’,0,test.md,2019-06-20
quoique belle,1,test.md,2019-06-20
l ’,0,test.md,2019-06-20
dit tout haut ces paroles,1,test.md,2019-06-20
fois,4,test.md,2019-06-20
Pays,2,test.md,2019-06-20
festin pour,1,test.md,2019-06-20
y,43,test.md,2019-06-20
intention,1,test.md,2019-06-20
arbres,3,test.md,2019-06-20
Bru et,1,test.md,2019-06-20
faire,10,test.md,2019-06-20
Maîtresse,2,test.md,2019-06-20
prédiction des Fées,1,test.md,2019-06-20
réveiller fût venue,1,test.md,2019-06-20
voyait,4,test.md,2019-06-20
je,21,test.md,2019-06-20
pleurer avec eux,1,test.md,2019-06-20
bourgeonné,1,test.md,2019-06-20
les loups,1,test.md,2019-06-20
réparer,1,test.md,2019-06-20
reprit la Princesse,1,test.md,2019-06-20
donna,5,test.md,2019-06-20
broderie d ’,0,test.md,2019-06-20
pensa que quand,1,test.md,2019-06-20
Cette bonne femme,1,test.md,2019-06-20
’ eût rien à craindre des Curieux,0,test.md,2019-06-20
tempes,1,test.md,2019-06-20
à la Princesse à,1,test.md,2019-06-20
mettre la Princesse,1,test.md,2019-06-20
admirant,1,test.md,2019-06-20
desquels,1,test.md,2019-06-20
couvert,2,test.md,2019-06-20
La Reine dit plusieurs,1,test.md,2019-06-20
Je,5,test.md,2019-06-20
le col,1,test.md,2019-06-20
bien qu ’ il fallait que cela arrivât,0,test.md,2019-06-20
par l ’,0,test.md,2019-06-20
été la jeune Reine,1,test.md,2019-06-20
basses-cours,1,test.md,2019-06-20
gros,3,test.md,2019-06-20
image,1,test.md,2019-06-20
le haut des Tours du Château,1,test.md,2019-06-20
dont elles,1,test.md,2019-06-20
lesquelles,1,test.md,2019-06-20
puisque les Fées l ’ avaient dit,0,test.md,2019-06-20
fin,9,test.md,2019-06-20
la cacher dans,1,test.md,2019-06-20
était grandement prévoyante,1,test.md,2019-06-20
l,922,test.md,2019-06-20
était monté au bruit,1,test.md,2019-06-20
ces ronces,1,test.md,2019-06-20
La vieille crut qu ’,0,test.md,2019-06-20
bon,13,test.md,2019-06-20
trouva,4,test.md,2019-06-20
bottes,2,test.md,2019-06-20
la Sauce-robert,1,test.md,2019-06-20
Ses,1,test.md,2019-06-20
annoncé par la,1,test.md,2019-06-20
si belle aventure,1,test.md,2019-06-20
c ’ était,0,test.md,2019-06-20
la croyait morte,1,test.md,2019-06-20
entendit aussi,1,test.md,2019-06-20
avait couché dans,1,test.md,2019-06-20
Il prit la résolution,1,test.md,2019-06-20
point d ’ enfants,0,test.md,2019-06-20
Ah,2,test.md,2019-06-20
dire,9,test.md,2019-06-20
Non,1,test.md,2019-06-20
si,32,test.md,2019-06-20
bien embarrassée,2,test.md,2019-06-20
fut parti,1,test.md,2019-06-20
bonne Vieille était seule à filer sa quenouille,1,test.md,2019-06-20
mit devant chacune d ’,0,test.md,2019-06-20
cérémonies,1,test.md,2019-06-20
le Maître d ’ Hôtel,0,test.md,2019-06-20
entiers,1,test.md,2019-06-20
s ’ éveillât,0,test.md,2019-06-20
ce qui le surprit,1,test.md,2019-06-20
avait dormi,1,test.md,2019-06-20
je tromperai,1,test.md,2019-06-20
êtes,2,test.md,2019-06-20
La Fée partit aussitôt,1,test.md,2019-06-20
demander du bon du bon,1,test.md,2019-06-20
comment lui témoigner,1,test.md,2019-06-20
Fées l ’ ordonnait ainsi,0,test.md,2019-06-20
faisait sept,1,test.md,2019-06-20
soir à son Maître d ’ Hôtel,0,test.md,2019-06-20
firent publier,1,test.md,2019-06-20
comme l ’,0,test.md,2019-06-20
’ un Roi,0,test.md,2019-06-20
Il avait emporté,1,test.md,2019-06-20
vieilles pièces,1,test.md,2019-06-20
Royaume,2,test.md,2019-06-20
présentait partout,1,test.md,2019-06-20
son métier afin que,1,test.md,2019-06-20
Chambre,1,test.md,2019-06-20
Il était,2,test.md,2019-06-20
besoin,2,test.md,2019-06-20
bien,15,test.md,2019-06-20
l ’ avait pu suivre,0,test.md,2019-06-20
autre famille que,1,test.md,2019-06-20
’ un vieux Paysan prit la parole,0,test.md,2019-06-20
beau Baptême,1,test.md,2019-06-20
besogne,1,test.md,2019-06-20
opinion était qu ’,0,test.md,2019-06-20
Princesse endormie,1,test.md,2019-06-20
attendri,1,test.md,2019-06-20
Gouvernantes,1,test.md,2019-06-20
temps,6,test.md,2019-06-20
point la surprendre,1,test.md,2019-06-20
rien,7,test.md,2019-06-20
était servie,1,test.md,2019-06-20
avait toutes,1,test.md,2019-06-20
que d ’,0,test.md,2019-06-20
petit Nain,1,test.md,2019-06-20
’ eau au visage,0,test.md,2019-06-20
dire qu ’,0,test.md,2019-06-20
Le jeune Prince,1,test.md,2019-06-20
et riant se jeter à son col,1,test.md,2019-06-20
broches mêmes,1,test.md,2019-06-20
Ces,1,test.md,2019-06-20
excitait à la,1,test.md,2019-06-20
à son retour,1,test.md,2019-06-20
fils,4,test.md,2019-06-20
Alors,3,test.md,2019-06-20
ce qu ’ il vit d ’ abord était,0,test.md,2019-06-20
mon dîner,1,test.md,2019-06-20
les Sorciers,1,test.md,2019-06-20
pleurât,1,test.md,2019-06-20
vint,4,test.md,2019-06-20
morts,2,test.md,2019-06-20
le,295,test.md,2019-06-20
joli,1,test.md,2019-06-20
car il,3,test.md,2019-06-20
Princesse s ’ éveilla,0,test.md,2019-06-20
Ce fut alors,1,test.md,2019-06-20
jeta,1,test.md,2019-06-20
que bête,1,test.md,2019-06-20
grande avenue où il entra,1,test.md,2019-06-20
ce,116,test.md,2019-06-20
Château pour y halener quelque viande fraîche,1,test.md,2019-06-20
’ entendit,0,test.md,2019-06-20
’ attendait pas si tôt,0,test.md,2019-06-20
homme,6,test.md,2019-06-20
Mon Prince,1,test.md,2019-06-20
à,81,test.md,2019-06-20
appartement du Palais,1,test.md,2019-06-20
’ étaient qu ’ endormis,0,test.md,2019-06-20
que la,10,test.md,2019-06-20
par les vilaines bêtes,1,test.md,2019-06-20
Cuisiniers,1,test.md,2019-06-20
par,36,test.md,2019-06-20
fort magnifiquement,1,test.md,2019-06-20
à dormir cent ans,1,test.md,2019-06-20
fond,2,test.md,2019-06-20
Enfin,2,test.md,2019-06-20
avait donné l ’ ordre,0,test.md,2019-06-20
comme aux autres,1,test.md,2019-06-20
Elle était bien contente,1,test.md,2019-06-20
souvint,1,test.md,2019-06-20
alla accommoder,1,test.md,2019-06-20
reconnaissance,1,test.md,2019-06-20
don qu ’,0,test.md,2019-06-20
spectacle qu ’ il eût jamais vu,0,test.md,2019-06-20
la,197,test.md,2019-06-20
Marmitons,1,test.md,2019-06-20
dévorée,1,test.md,2019-06-20
alla dans,1,test.md,2019-06-20
les perfections imaginables,1,test.md,2019-06-20
soupèrent,1,test.md,2019-06-20
Femmes,1,test.md,2019-06-20
’ il mettrait fin à,0,test.md,2019-06-20
’ éviter,0,test.md,2019-06-20
Reine à la,1,test.md,2019-06-20
Reine dit au Maître d ’ Hôtel,0,test.md,2019-06-20
jette,1,test.md,2019-06-20
car il vécut avec la Princesse,1,test.md,2019-06-20
quelques jours,1,test.md,2019-06-20
voeux,1,test.md,2019-06-20
’ Hôtel,0,test.md,2019-06-20
paraissaient morts,1,test.md,2019-06-20
pauvre Maître d ’ Hôtel,0,test.md,2019-06-20
car elle,2,test.md,2019-06-20
Dames,1,test.md,2019-06-20
délace,1,test.md,2019-06-20
bonne Fée,2,test.md,2019-06-20
dit tout haut à la Princesse que la,1,test.md,2019-06-20
était fort vive,1,test.md,2019-06-20
bien qu ’ il ne fallait pas se jouer à une Ogresse,0,test.md,2019-06-20
afin d ’ être,0,test.md,2019-06-20
maison,1,test.md,2019-06-20
il marche vers,1,test.md,2019-06-20
tromper,3,test.md,2019-06-20
Tour,3,test.md,2019-06-20
dit la Princesse,1,test.md,2019-06-20
pris le fuseau,1,test.md,2019-06-20
La bonne Vieille,1,test.md,2019-06-20
ce qu ’ il avait fait,0,test.md,2019-06-20
qu ’,0,test.md,2019-06-20
les jours,1,test.md,2019-06-20
parce qu ’ il paraissait encore,0,test.md,2019-06-20
jusqu ’ à ce que son heure,0,test.md,2019-06-20
’ ils,0,test.md,2019-06-20
aurait,7,test.md,2019-06-20
’ il fallait se contenter dans,0,test.md,2019-06-20
serait la,1,test.md,2019-06-20
Ils passèrent dans,1,test.md,2019-06-20
prêts à la,1,test.md,2019-06-20
connaissait pas,1,test.md,2019-06-20
tomba évanouie,1,test.md,2019-06-20
fraîche,2,test.md,2019-06-20
Hautbois jouèrent,1,test.md,2019-06-20
avait quelque,1,test.md,2019-06-20
pleines,2,test.md,2019-06-20
chasse,2,test.md,2019-06-20
crie au secours,1,test.md,2019-06-20
dit la Reine,1,test.md,2019-06-20
douta,2,test.md,2019-06-20
Aurore,6,test.md,2019-06-20
instruments,1,test.md,2019-06-20
que chacune d ’,0,test.md,2019-06-20
Madame,2,test.md,2019-06-20
lui fit,3,test.md,2019-06-20
Le Roi son père,1,test.md,2019-06-20
son frère,1,test.md,2019-06-20
tout le Palais s ’ était réveillé avec la Princesse,0,test.md,2019-06-20
seize ans,2,test.md,2019-06-20
Prince la quitta dès le,1,test.md,2019-06-20
’ elle,0,test.md,2019-06-20
diamants,1,test.md,2019-06-20
dit d ’,0,test.md,2019-06-20
sauver sa vie,1,test.md,2019-06-20
’,242,test.md,2019-06-20
’ Honneur,0,test.md,2019-06-20
assouvir son,1,test.md,2019-06-20
vit sur,1,test.md,2019-06-20
don fit frémir toute la compagnie,1,test.md,2019-06-20
tout,30,test.md,2019-06-20
lors,9,test.md,2019-06-20
spectacle,2,test.md,2019-06-20
sauce que,2,test.md,2019-06-20
commande dès le lendemain au matin,1,test.md,2019-06-20
Jour,5,test.md,2019-06-20
leur sabbat,1,test.md,2019-06-20
La bonne Fée qui lui avait sauvé la vie,1,test.md,2019-06-20
fait,12,test.md,2019-06-20
avait ouï parler,1,test.md,2019-06-20
’ il avait toujours,0,test.md,2019-06-20
étendus d ’,0,test.md,2019-06-20
j ’ ai tant aimés,0,test.md,2019-06-20
belle personne du monde,1,test.md,2019-06-20
douta point que,1,test.md,2019-06-20
fut pas bien persuadée,1,test.md,2019-06-20
aurait fait,1,test.md,2019-06-20
apparence,1,test.md,2019-06-20
ce qui faisait voir qu ’,0,test.md,2019-06-20
être fâché,1,test.md,2019-06-20
parfaitement bien,1,test.md,2019-06-20
Il la,2,test.md,2019-06-20
mieux,1,test.md,2019-06-20
ton d ’ Ogresse,0,test.md,2019-06-20
Une des jeunes Fées qui se trouva auprès d ’,0,test.md,2019-06-20
devoir,1,test.md,2019-06-20
aussitôt à sa chambre,1,test.md,2019-06-20
déclara publiquement son Mariage,1,test.md,2019-06-20
grands biens,1,test.md,2019-06-20
’ y eut personne qui,0,test.md,2019-06-20
les inclinations des Ogres,1,test.md,2019-06-20
et du fromage,1,test.md,2019-06-20
la faisait revenir,1,test.md,2019-06-20
Mère,3,test.md,2019-06-20
race Ogresse,1,test.md,2019-06-20
en sorte qu ’,0,test.md,2019-06-20
jeter sur eux,1,test.md,2019-06-20
vit maître,1,test.md,2019-06-20
jeune biche,1,test.md,2019-06-20
l ’ Ogresse,0,test.md,2019-06-20
loin,1,test.md,2019-06-20
’ étaient pas longues,0,test.md,2019-06-20
voix,2,test.md,2019-06-20
mère,4,test.md,2019-06-20
crainte,1,test.md,2019-06-20
’ étaient endormis en buvant,0,test.md,2019-06-20
Reine Mère,2,test.md,2019-06-20
à la,23,test.md,2019-06-20
Gentilshommes,2,test.md,2019-06-20
beau que,1,test.md,2019-06-20
dit,28,test.md,2019-06-20
réveiller elle serait bien,1,test.md,2019-06-20
étonné ce que voulait dire cet,1,test.md,2019-06-20
l ’ éclat,0,test.md,2019-06-20
La jeune Reine avait vingt ans,1,test.md,2019-06-20
comme ils,1,test.md,2019-06-20
Princesse eût par ce moyen,1,test.md,2019-06-20
savait qu ’ en croire,0,test.md,2019-06-20
dites,1,test.md,2019-06-20
au feu,1,test.md,2019-06-20
Palefreniers,1,test.md,2019-06-20
rôdait à son ordinaire dans,1,test.md,2019-06-20
car son évanouissement,1,test.md,2019-06-20
Valets de,1,test.md,2019-06-20
Cela était fort bien,1,test.md,2019-06-20
étaient dans,1,test.md,2019-06-20
enfants,16,test.md,2019-06-20
couvert magnifique,1,test.md,2019-06-20
pût trouver,1,test.md,2019-06-20
Château qu ’ il voyait au,0,test.md,2019-06-20
Prince,35,test.md,2019-06-20
’ Arrêt,0,test.md,2019-06-20
Régence du Royaume à,1,test.md,2019-06-20
couteau lui tomba des,1,test.md,2019-06-20
Pouffe,1,test.md,2019-06-20
crut,3,test.md,2019-06-20
nommée l ’ Aurore,0,test.md,2019-06-20
pas faire à deux fois,1,test.md,2019-06-20
sortes,1,test.md,2019-06-20
au milieu,2,test.md,2019-06-20
ses,23,test.md,2019-06-20
mis en oeuvre,1,test.md,2019-06-20
respect l ’,0,test.md,2019-06-20
fâchés qu ’,0,test.md,2019-06-20
faim,1,test.md,2019-06-20
grâce,1,test.md,2019-06-20
repos,1,test.md,2019-06-20
Il passe une,1,test.md,2019-06-20
Dans,1,test.md,2019-06-20
vit que personne,1,test.md,2019-06-20
ce temps-là,1,test.md,2019-06-20
comment,2,test.md,2019-06-20
’ une seule enjambée,0,test.md,2019-06-20
était un vieux Château,1,test.md,2019-06-20
y faire jeter,1,test.md,2019-06-20
Honneur leur tira le rideau,1,test.md,2019-06-20
Roi,22,test.md,2019-06-20
étaient si fâchés,1,test.md,2019-06-20
peines du,1,test.md,2019-06-20
Enfin il y avait quatre,1,test.md,2019-06-20
bonne femme,2,test.md,2019-06-20
faisait trembler,1,test.md,2019-06-20
mouraient,1,test.md,2019-06-20
’ avait jamais rien mangé,0,test.md,2019-06-20
il y,9,test.md,2019-06-20
la tête encore,1,test.md,2019-06-20
Ce,8,test.md,2019-06-20
lieu d ’,0,test.md,2019-06-20
incarnates,1,test.md,2019-06-20
couteau,3,test.md,2019-06-20
massif,2,test.md,2019-06-20
Prince jeune,1,test.md,2019-06-20
cruauté,1,test.md,2019-06-20
étaient pas,4,test.md,2019-06-20
ces,36,test.md,2019-06-20
toute seule dans,1,test.md,2019-06-20
hutte d ’ un Charbonnier,0,test.md,2019-06-20
menues dévotions,1,test.md,2019-06-20
Je veux manger à mon souper le,1,test.md,2019-06-20
Fée étant venu,1,test.md,2019-06-20
édit,1,test.md,2019-06-20
Reine sa femme et,1,test.md,2019-06-20
qu ’ il lui serait,0,test.md,2019-06-20
avait point priée parce qu ’ il y,0,test.md,2019-06-20
ce qui était dans,1,test.md,2019-06-20
moyen,3,test.md,2019-06-20
jusque-là,1,test.md,2019-06-20
sur,12,test.md,2019-06-20
Roi alla faire la,1,test.md,2019-06-20
chacun songeait à faire sa charge,1,test.md,2019-06-20
cours,5,test.md,2019-06-20
corail,1,test.md,2019-06-20
Cour qu ’,0,test.md,2019-06-20
était habillée comme ma mère,1,test.md,2019-06-20
Le rang,1,test.md,2019-06-20
il y avait,6,test.md,2019-06-20
faire expliquer,1,test.md,2019-06-20
Gardes,2,test.md,2019-06-20
toujours vaillant,1,test.md,2019-06-20
parler des,1,test.md,2019-06-20
